endTime,artistName,trackName,msPlayed,genres
2022-12-08 01:24,.clouds,cozy mornings,95916,['sleep']
2022-12-08 01:26,Jazzinuf,Soul Mates,96343,['chillhop']
2022-12-08 01:29,benny blanco,Eastside (with Halsey & Khalid),170769,['pop']
2022-12-08 01:32,Hearts & Colors,Lying To Myself,210473,[]
2022-12-08 01:35,Khalid,Outta My Head (with John Mayer),177066,"['pop', 'pop r&b']"
2022-12-08 01:40,Lana Del Rey,Video Games,284500,"['art pop', 'pop']"
2022-12-08 03:45,Vishal Chandrashekhar,Kurumugil,218808,"['tamil pop', 'tollywood']"
2022-12-08 03:45,OneRepublic,Connection,14078,"['piano rock', 'pop']"
2022-12-08 03:48,Vishal Chandrashekhar,Piriyadhey,206677,"['tamil pop', 'tollywood']"
2022-12-08 03:51,Vishal Chandrashekhar,Kannukkulle,144469,"['tamil pop', 'tollywood']"
2022-12-08 03:53,Yuvan Shankar Raja,Mamakutty,125888,"['filmi', 'kollywood']"
2022-12-08 03:56,G. V. Prakash,Vaa Vaathi,155861,"['filmi', 'kollywood']"
2022-12-08 03:56,Yuvan Shankar Raja,Rendu Raaja,2410,"['filmi', 'kollywood']"
2022-12-08 03:58,Vishal Chandrashekhar,Uraiyum Theeyil,89024,"['tamil pop', 'tollywood']"
2022-12-08 04:01,The Lumineers,Ophelia,160097,"['folk-pop', 'modern rock', 'stomp and holler']"
2022-12-08 04:05,FKJ,Ylang Ylang,213000,"['filter house', 'indie soul']"
2022-12-08 04:09,Post Malone,Circles,215280,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-08 04:12,Post Malone,I Like You (A Happier Song) (with Doja Cat),192840,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-08 04:16,Fujii Kaze,きらり,231882,['japanese teen pop']
2022-12-08 04:19,FKJ,10 Years Ago,200250,"['filter house', 'indie soul']"
2022-12-08 04:22,((( O ))),iFeel,1258,['experimental hip hop']
2022-12-08 04:22,Doja Cat,Freak,1194,"['dance pop', 'pop']"
2022-12-08 04:22,Jenevieve,Baby Powder,176760,['alternative r&b']
2022-12-08 04:22,Lana Del Rey,Venice Bitch,938,"['art pop', 'pop']"
2022-12-08 04:22,FKJ,Why Are There Boundaries,1503,"['filter house', 'indie soul']"
2022-12-08 04:33,Lana Del Rey,Diet Mountain Dew,216042,"['art pop', 'pop']"
2022-12-08 05:02,Post Malone,Goodbyes (feat. Young Thug),105881,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-08 05:04,Vishal Chandrashekhar,Piriyadhey,16000,"['tamil pop', 'tollywood']"
2022-12-08 05:04,dhruv,Blur,2282,['nyc pop']
2022-12-08 05:04,dhruv,double take,140480,['nyc pop']
2022-12-08 05:04,A.R. Rahman,Ay Hairathe,5632,['filmi']
2022-12-08 13:37,Vishal Chandrashekhar,Hey Sita Hey Rama,111658,"['tamil pop', 'tollywood']"
2022-12-08 13:41,Vishal Chandrashekhar,Piriyadhey,204352,"['tamil pop', 'tollywood']"
2022-12-08 14:52,The Weeknd,Blinding Lights,200040,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2022-12-08 14:56,The Weeknd,High For This,247226,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2022-12-08 15:00,The Weeknd,Call Out My Name,228373,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2022-12-08 15:04,The Weeknd,Sidewalks,231360,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2022-12-08 15:08,The Weeknd,Try Me,221106,"['canadian contemporary r&b', 'canadian pop', 'pop']"
